juros_efet,rating_operacao,rating_cliente,ra,porte,setor,situacao,rating_atual,linha_fin,tipo_a,tipo_b,tipo_c,tipo_d,garantia
1.284.057,B,B,Região Metropolitana de São Paulo,PEQUENA,SETOR PRIVADO,ADIMPLENTE,B,CDP,CG,RT,PRIV,BNDES,FGI 
14.546,C,C,Região Metropolitana de São Paulo,PEQUENA,SETOR PRIVADO,ADIMPLENTE,C,CDP,CG,RT,PRIV,BNDES,FGI 
1.229.745,A,A,Região Metropolitana de São Paulo,PEQUENA,SETOR PRIVADO,ADIMPLENTE,A,CDP,CG,RT,PRIV,BNDES,FGI 
0.407413,A,B,Região Metropolitana de São Paulo,PEQUENA,SETOR PRIVADO,ADIMPLENTE,AA,INOVACRED,PI,RT,PRIV,FINEP,Gar Fidejussória Fiança Bancária
129.953,B,B,Região Metropolitana de São Paulo,PEQUENA,SETOR PRIVADO,ADIMPLENTE,B,CDP,CG,RT,PRIV,BNDES,FGI 
1.273.038,B,B,Região Metropolitana de São Paulo,PEQUENA,SETOR PRIVADO,ADIMPLENTE,B,CDP,CG,RT,PRIV,BNDES,FGI 
1.248.225,A,A,Região Metropolitana de São Paulo,PEQUENA,SETOR PRIVADO,ADIMPLENTE,A,CDP,CG,RT,PRIV,BNDES,FGI 
1.307.138,B,B,RA de Sorocaba,PEQUENA,SETOR PRIVADO,ADIMPLENTE,C,CDP,CG,RT,PRIV,BNDES,FGI 
1.257.845,B,B,Região Metropolitana de São Paulo,PEQUENA,SETOR PRIVADO,ADIMPLENTE,B,CDP,CG,RT,PRIV,BNDES,FGI 
1.256.347,A,A,Região Metropolitana de São Paulo,PEQUENA,SETOR PRIVADO,ADIMPLENTE,A,CDP,CG,RT,PRIV,BNDES,FGI 
1.473.023,C,C,Região Metropolitana de São Paulo,PEQUENA,SETOR PRIVADO,ADIMPLENTE,C,CDP,CG,RT,PRIV,BNDES,FGI 
1.453.986,C,C,Região Metropolitana de São Paulo,PEQUENA,SETOR PRIVADO,ADIMPLENTE,C,CDP,CG,RT,PRIV,BNDES,FGI 
1.426.061,C,C,Região Metropolitana de São Paulo,PEQUENA,SETOR PRIVADO,ADIMPLENTE,C,CDP,CG,RT,PRIV,BNDES,FGI 
1.303.912,B,B,OUTRAS,MICRO,SETOR PRIVADO,ADIMPLENTE,B,CDP,CG,RT,PRIV,BNDES,FGI 
1.250.444,A,A,Região Metropolitana de São Paulo,MICRO,SETOR PRIVADO,ADIMPLENTE,A,CDP,CG,RT,PRIV,BNDES,FGI 
1.429.119,C,C,Região Metropolitana de São Paulo,PEQUENA,SETOR PRIVADO,ADIMPLENTE,C,CDP,CG,RT,PRIV,BNDES,FGI 
1.258.653,A,A,RA de Campinas,PEQUENA,SETOR PRIVADO,ADIMPLENTE,A,CDP,CG,RT,PRIV,BNDES,FGI 
1.256.383,A,A,RA de Campinas,PEQUENA,SETOR PRIVADO,ADIMPLENTE,B,CDP,CG,RT,PRIV,BNDES,FGI 
1.313.452,B,B,RA de Campinas,PEQUENA,SETOR PRIVADO,ADIMPLENTE,B,CDP,CG,RT,PRIV,BNDES,FGI 
1.243.218,A,A,Região Metropolitana de São Paulo,PEQUENA,SETOR PRIVADO,ADIMPLENTE,B,CDP,CG,RT,PRIV,BNDES,FGI 
1.285.212,B,B,RA de São José dos Campos,PEQUENA,SETOR PRIVADO,ADIMPLENTE,B,CDP,CG,RT,PRIV,BNDES,FGI 
1.293.239,B,B,RA de Campinas,PEQUENA,SETOR PRIVADO,ADIMPLENTE,B,CDP,CG,RT,PRIV,BNDES,FGI 
1.247.836,A,A,RA Central,PEQUENA,SETOR PRIVADO,ADIMPLENTE,A,CDP,CG,RT,PRIV,BNDES,FGI 
1.296.355,B,B,Região Metropolitana de São Paulo,MICRO,SETOR PRIVADO,ADIMPLENTE,B,CDP,CG,RT,PRIV,BNDES,FGI 
1.442.255,C,C,Região Metropolitana de São Paulo,PEQUENA,SETOR PRIVADO,ADIMPLENTE,C,CDP,CG,RT,PRIV,BNDES,FGI 
141.153,C,C,Região Metropolitana de São Paulo,PEQUENA,SETOR PRIVADO,ADIMPLENTE,C,CDP,CG,RT,PRIV,BNDES,FGI 
1.440.062,C,C,Região Metropolitana de São Paulo,PEQUENA,SETOR PRIVADO,ADIMPLENTE,C,CDP,CG,RT,PRIV,BNDES,FGI 
1.449.428,C,C,Região Metropolitana de São Paulo,PEQUENA,SETOR PRIVADO,ADIMPLENTE,C,CDP,CG,RT,PRIV,BNDES,FGI 
1.246.877,A,A,Região Metropolitana de São Paulo,PEQUENA,SETOR PRIVADO,ADIMPLENTE,A,CDP,CG,RT,PRIV,BNDES,FGI 
1.479.626,C,C,Região Metropolitana de São Paulo,PEQUENA,SETOR PRIVADO,ADIMPLENTE,C,CDP,CG,RT,PRIV,BNDES,FGI 
124.943,B,B,Região Metropolitana de São Paulo,MÉDIA,SETOR PRIVADO,ADIMPLENTE,B,CDP,CG,RT,PRIV,BNDES,FGI 
12.949,B,B,OUTRAS,PEQUENA,SETOR PRIVADO,ADIMPLENTE,B,CDP,CG,RT,PRIV,BNDES,FGI 
1.280.779,B,B,RA de Marília,PEQUENA,SETOR PRIVADO,ADIMPLENTE,B,CDP,CG,RT,PRIV,BNDES,FGI 
1.405.539,C,C,RA de Bauru,PEQUENA,SETOR PRIVADO,ADIMPLENTE,C,CDP,CG,RT,PRIV,BNDES,FGI 
1.288.789,B,B,RA de Presidente Prudente,PEQUENA,SETOR PRIVADO,ADIMPLENTE,B,CDP,CG,RT,PRIV,BNDES,FGI 
1.446.338,C,C,RA de Sorocaba,PEQUENA,SETOR PRIVADO,ADIMPLENTE,C,CDP,CG,RT,PRIV,BNDES,FGI 
1.280.694,B,B,Região Metropolitana de São Paulo,PEQUENA,SETOR PRIVADO,ADIMPLENTE,B,CDP,CG,RT,PRIV,BNDES,FGI 
128.524,B,B,RA de Ribeirão Preto,PEQUENA,SETOR PRIVADO,ADIMPLENTE,B,CDP,CG,RT,PRIV,BNDES,FGI 
1.449.675,C,C,Região Metropolitana de São Paulo,PEQUENA,SETOR PRIVADO,ADIMPLENTE,C,CDP,CG,RT,PRIV,BNDES,FGI 
1.440.993,C,C,Região Metropolitana de São Paulo,MICRO,SETOR PRIVADO,ADIMPLENTE,C,CDP,CG,RT,PRIV,BNDES,FGI 
1.449.677,C,C,Região Metropolitana de São Paulo,PEQUENA,SETOR PRIVADO,ADIMPLENTE,C,CDP,CG,RT,PRIV,BNDES,FGI 
1.455.958,C,C,Região Metropolitana de São Paulo,PEQUENA,SETOR PRIVADO,ADIMPLENTE,C,CDP,CG,RT,PRIV,BNDES,FGI 
1.444.381,C,C,RA de Santos,PEQUENA,SETOR PRIVADO,ADIMPLENTE,C,CDP,CG,RT,PRIV,BNDES,FGI 
146.629,C,C,Região Metropolitana de São Paulo,PEQUENA,SETOR PRIVADO,ADIMPLENTE,C,CDP,CG,RT,PRIV,BNDES,FGI 
1.256.817,B,B,RA de Campinas,PEQUENA,SETOR PRIVADO,ADIMPLENTE,B,CDP,CG,RT,PRIV,BNDES,FGI 
1.289.298,B,B,Região Metropolitana de São Paulo,PEQUENA,SETOR PRIVADO,ADIMPLENTE,B,CDP,CG,RT,PRIV,BNDES,FGI 
1.435.026,C,C,Região Metropolitana de São Paulo,PEQUENA,SETOR PRIVADO,ADIMPLENTE,C,CDP,CG,RT,PRIV,BNDES,FGI 
1.289.918,B,B,Região Metropolitana de São Paulo,PEQUENA,SETOR PRIVADO,ADIMPLENTE,B,CDP,CG,RT,PRIV,BNDES,FGI 
1.283.682,B,B,RA de Presidente Prudente,PEQUENA,SETOR PRIVADO,ADIMPLENTE,B,CDP,CG,RT,PRIV,BNDES,FGI 
1.223.343,A,A,Região Metropolitana de São Paulo,PEQUENA,SETOR PRIVADO,ADIMPLENTE,A,CDP,CG,RT,PRIV,BNDES,FGI 
1.467.746,C,C,RA de Campinas,PEQUENA,SETOR PRIVADO,ADIMPLENTE,C,CDP,CG,RT,PRIV,BNDES,FGI 
1.288.789,B,B,RA de São José do Rio Preto,PEQUENA,SETOR PRIVADO,ADIMPLENTE,B,CDP,CG,RT,PRIV,BNDES,FGI 
1.411.525,C,C,RA de Bauru,PEQUENA,SETOR PRIVADO,ADIMPLENTE,C,CDP,CG,RT,PRIV,BNDES,FGI 
1.250.765,B,B,RA de Campinas,PEQUENA,SETOR PRIVADO,ADIMPLENTE,B,CDP,CG,RT,PRIV,BNDES,FGI 
1.285.341,B,B,RA de Sorocaba,PEQUENA,SETOR PRIVADO,ADIMPLENTE,B,CDP,CG,RT,PRIV,BNDES,FGI 
1.457.256,C,C,OUTRAS,PEQUENA,SETOR PRIVADO,ADIMPLENTE,C,CDP,CG,RT,PRIV,BNDES,FGI 
126.985,B,B,RA de Campinas,MICRO,SETOR PRIVADO,ADIMPLENTE,B,CDP,CG,RT,PRIV,BNDES,FGI 
1.283.191,B,B,RA de Campinas,PEQUENA,SETOR PRIVADO,ADIMPLENTE,B,CDP,CG,RT,PRIV,BNDES,FGI 
1.429.119,C,C,RA de Campinas,PEQUENA,SETOR PRIVADO,ADIMPLENTE,C,CDP,CG,RT,PRIV,BNDES,FGI 
126.325,A,A,RA Central,MICRO,SETOR PRIVADO,ADIMPLENTE,A,CDP,CG,RT,PRIV,BNDES,FGI 
1.441.762,C,C,RA de Campinas,PEQUENA,SETOR PRIVADO,ADIMPLENTE,C,CDP,CG,RT,PRIV,BNDES,FGI 
1.226.313,B,B,RA Central,PEQUENA,SETOR PRIVADO,ADIMPLENTE,B,CDP,CG,RT,PRIV,BNDES,FGI 
1.279.415,B,B,RA de Campinas,MICRO,SETOR PRIVADO,ADIMPLENTE,B,CDP,CG,RT,PRIV,BNDES,FGI 
1.468.091,C,C,Região Metropolitana de São Paulo,PEQUENA,SETOR PRIVADO,ADIMPLENTE,C,CDP,CG,RT,PRIV,BNDES,FGI 
